,Name of  movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection in millions,Director,Star,Genre
0,The Godfather,1972,175 ,9.2,100        ,"1,994,924",$134.97M,Francis Ford Coppola,Marlon Brando,Crime
1,Goodfellas,1990,145 ,8.7,92        ,"1,246,216",$46.84M,Martin Scorsese,Robert De Niro,Biography
2,Pulp Fiction,1994,154 ,8.9,95        ,"2,199,299",$107.93M,Quentin Tarantino,John Travolta,Crime
3,The Usual Suspects,1995,106 ,8.5,76        ,"1,138,428",$23.34M,Bryan Singer,Kevin Spacey,Crime
4,Apocalypse Now,1979,147 ,8.4,94        ,"705,022",$83.47M,Francis Ford Coppola,Martin Sheen,Drama
5,Trainspotting,1996,93 ,8.1,83        ,"721,563",$16.50M,Danny Boyle,Ewan McGregor,Drama            
6,Fight Club,1999,139 ,8.8,67        ,"2,299,201",$37.03M,David Fincher,Brad Pitt,Drama            
7,Schindler's List,1993,195 ,9,95        ,"1,438,556",$96.90M,Steven Spielberg,Liam Neeson,Biography
8,Boogie Nights,1997,155 ,7.9,86        ,"280,618",$26.40M,Paul Thomas Anderson,Mark Wahlberg,Drama            
9,Reservoir Dogs,1992,99 ,8.3,81        ,"1,080,488",$2.83M,Quentin Tarantino,Harvey Keitel,Crime
10,The Shawshank Redemption,1994,142 ,9.3,82        ,"2,863,914",$28.34M,Frank Darabont,Tim Robbins,Drama            
11,Jaws,1975,124 ,8.1,87        ,"654,539",$260.00M,Steven Spielberg,Roy Scheider,Adventure
12,Taxi Driver,1976,114 ,8.2,94        ,"912,092",$28.26M,Martin Scorsese,Robert De Niro,Crime
13,L.A. Confidential,1997,138 ,8.2,91        ,"613,836",$64.62M,Curtis Hanson,Kevin Spacey,Crime
14,Back to the Future,1985,116 ,8.5,87        ,"1,295,635",$210.61M,Robert Zemeckis,Michael J. Fox,Adventure
15,The Godfather Part II,1974,202 ,9,90        ,"1,353,560",$57.30M,Francis Ford Coppola,Al Pacino,Crime
16,Fargo,1996,98 ,8.1,87        ,"721,085",$24.61M,Joel Coen,Ethan Coen,Crime
17,The Dark Knight,2008,152 ,9,84        ,"2,845,052",$534.86M,Christopher Nolan,Christian Bale,Action
18,The Matrix,1999,136 ,8.7,73        ,"2,034,762",$171.48M,Lana Wachowski,Lilly Wachowski,Action
19,Magnolia,1999,188 ,8,78        ,"326,869",$22.46M,Paul Thomas Anderson,Tom Cruise,Drama            
20,Scarface,1983,170 ,8.3,65        ,"908,396",$45.60M,Brian De Palma,Al Pacino,Crime
21,The Royal Tenenbaums,2001,110 ,7.6,76        ,"311,693",$52.36M,Wes Anderson,Gene Hackman,Comedy
22,Donnie Darko,2001,113 ,8,88        ,"844,848",$1.48M,Richard Kelly,Jake Gyllenhaal,Drama
23,Platoon,1986,120 ,8.1,92        ,"436,529",$138.53M,Oliver Stone,Charlie Sheen,Drama
24,Heat,1995,170 ,8.3,76        ,"713,140",$67.44M,Michael Mann,Al Pacino,Action
25,American Beauty,1999,122 ,8.3,84        ,"1,204,505",$130.10M,Sam Mendes,Kevin Spacey,Drama            
26,The Big Lebowski,1998,117 ,8.1,71        ,"854,931",$17.50M,Joel Coen,Ethan Coen,Comedy
27,Raging Bull,1980,129 ,8.1,90        ,"377,536",$23.38M,Martin Scorsese,Robert De Niro,Biography
28,Un prophète,2009,155 ,7.8,90        ,"101,853",$2.08M,Jacques Audiard,Tahar Rahim,Crime
29,The Departed,2006,151 ,8.5,85        ,"1,411,471",$132.38M,Martin Scorsese,Leonardo DiCaprio,Crime
30,There's Something About Mary,1998,119 ,7.1,69        ,"327,204",$176.48M,Bobby Farrelly,Peter Farrelly,Comedy
31,Léon,1994,110 ,8.5,64        ,"1,236,058",$19.50M,Luc Besson,Jean Reno,Action
32,Cidade de Deus,2002,130 ,8.6,79        ,"795,646",$7.56M,Fernando Meirelles,Kátia Lund,Crime
33,Once Upon a Time in America,1984,229 ,8.3,75        ,"374,966",$5.32M,Sergio Leone,Robert De Niro,Crime
34,"Lock, Stock and Two Smoking Barrels",1998,107 ,8.1,65        ,"612,487",$3.90M,Guy Ritchie,Jason Flemyng,Action
35,The Truman Show,1998,103 ,8.2,90        ,"1,183,165",$125.62M,Peter Weir,Jim Carrey,Comedy
36,Toy Story,1995,81 ,8.3,96        ,"1,060,506",$191.80M,John Lasseter,Tom Hanks,Animation
37,Alien,1979,117 ,8.5,89        ,"942,076",$78.90M,Ridley Scott,Sigourney Weaver,Horror
38,Rushmore,1998,93 ,7.6,87        ,"197,074",$17.11M,Wes Anderson,Jason Schwartzman,Comedy
39,Se7en,1995,127 ,8.6,65        ,"1,781,693",$100.13M,David Fincher,Morgan Freeman,Crime
40,Good Will Hunting,1997,126 ,8.3,71        ,"1,055,555",$138.43M,Gus Van Sant,Robin Williams,Drama
41,Aliens,1986,137 ,8.4,84        ,"757,488",$85.16M,James Cameron,Sigourney Weaver,Action
42,The Exorcist,1973,122 ,8.1,82        ,"451,484",$232.91M,William Friedkin,Ellen Burstyn,Horror            
43,One Flew Over the Cuckoo's Nest,1975,133 ,8.7,84        ,"1,065,255",$112.00M,Milos Forman,Jack Nicholson,Drama            
44,Chinatown,1974,130 ,8.1,92        ,"347,167",nan,Roman Polanski,Jack Nicholson,Drama
45,Casino,1995,178 ,8.2,73        ,"559,311",$42.44M,Martin Scorsese,Robert De Niro,Crime
46,True Romance,1993,119 ,7.9,59        ,"240,893",$12.28M,Tony Scott,Christian Slater,Crime
47,Gladiator,2000,155 ,8.5,67        ,"1,605,440",$187.71M,Ridley Scott,Russell Crowe,Action
48,Raiders of the Lost Ark,1981,115 ,8.4,86        ,"1,031,067",$248.16M,Steven Spielberg,Harrison Ford,Action
49,Miller's Crossing,1990,115 ,7.7,66        ,"141,385",$5.08M,Joel Coen,Ethan Coen,Crime
50,Being John Malkovich,1999,113 ,7.7,90        ,"351,789",$22.86M,Spike Jonze,John Cusack,Comedy
51,Die Hard,1988,132 ,8.2,72        ,"939,445",$83.01M,John McTiernan,Bruce Willis,Action
52,Casablanca,1942,102 ,8.5,100        ,"602,310",$1.02M,Michael Curtiz,Humphrey Bogart,Drama
53,Kick-Ass,2010,117 ,7.6,66        ,"590,149",$48.07M,Matthew Vaughn,Aaron Taylor-Johnson,Action
54,The Prestige,2006,130 ,8.5,66        ,"1,428,704",$53.09M,Christopher Nolan,Christian Bale,Drama
55,Inglourious Basterds,2009,153 ,8.4,69        ,"1,568,283",$120.54M,Quentin Tarantino,Brad Pitt,Adventure
56,Evil Dead II,1987,84 ,7.7,72        ,"180,794",$5.92M,Sam Raimi,Bruce Campbell,Comedy
57,Jurassic Park,1993,127 ,8.2,68        ,"1,058,383",$402.45M,Steven Spielberg,Sam Neill,Action
58,Batman Begins,2005,140 ,8.2,70        ,"1,565,982",$206.85M,Christopher Nolan,Christian Bale,Action
59,The Green Mile,1999,189 ,8.6,61        ,"1,395,130",$136.80M,Frank Darabont,Tom Hanks,Crime
60,The French Connection,1971,104 ,7.7,94        ,"134,525",$15.63M,William Friedkin,Gene Hackman,Action
61,Unforgiven,1992,130 ,8.2,85        ,"433,527",$101.16M,Clint Eastwood,Clint Eastwood,Drama
62,Drive, 2011,100 ,7.8,79        ,"699,057",$35.06M,Nicolas Winding Refn,Ryan Gosling,Action
63,The Shining,1980,146 ,8.4,68        ,"1,097,541",$44.02M,Stanley Kubrick,Jack Nicholson,Drama
64,The Evil Dead,1981,85 ,7.4,71        ,"231,051",$2.40M,Sam Raimi,Bruce Campbell,Horror            
65,Forrest Gump,1994,142 ,8.8,82        ,"2,235,805",$330.25M,Robert Zemeckis,Tom Hanks,Drama
66,The Thing,1982,109 ,8.2,57        ,"462,390",$13.78M,John Carpenter,Kurt Russell,Horror
67,Citizen Kane,1941,119 ,8.3,100        ,"463,309",$1.59M,Orson Welles,Orson Welles,Drama
68,Blue Velvet,1986,120 ,7.7,75        ,"214,103",$8.55M,David Lynch,Isabella Rossellini,Crime
69,The Wicker Man,1973,88 ,7.5,87        ,"91,328",$0.06M,Robin Hardy,Edward Woodward,Horror
70,Eternal Sunshine of the Spotless Mind,2004,108 ,8.3,89        ,"1,069,231",$34.40M,Michel Gondry,Jim Carrey,Drama
71,The Princess Bride,1987,98 ,8,78        ,"448,542",$30.86M,Rob Reiner,Cary Elwes,Adventure
72,A Clockwork Orange,1971,136 ,8.3,77        ,"875,931",$6.21M,Stanley Kubrick,Malcolm McDowell,Crime
73,Go,1999,102 ,7.2,74        ,"74,715",$16.84M,Doug Liman,Sarah Polley,Comedy
74,Stand by Me,1986,89 ,8.1,75        ,"437,878",$52.29M,Rob Reiner,Wil Wheaton,Adventure
75,The Lord of the Rings: The Return of the King,2003,201 ,9,94        ,"1,961,550",$377.85M,Peter Jackson,Elijah Wood,Action
76,Terminator 2: Judgment Day,1991,137 ,8.6,75        ,"1,165,557",$204.84M,James Cameron,Arnold Schwarzenegger,Action
77,Toy Story 2,1999,92 ,7.9,88        ,"615,584",$245.85M,John Lasseter,Ash Brannon,Animation
78,Saving Private Ryan,1998,169 ,8.6,91        ,"1,484,705",$216.54M,Steven Spielberg,Tom Hanks,Drama
79,Indiana Jones and the Last Crusade,1989,127 ,8.2,65        ,"806,267",$197.17M,Steven Spielberg,Harrison Ford,Action
80,Sin City,2005,124 ,8,74        ,"791,371",$74.10M,Frank Miller,Quentin Tarantino,Crime
81,Saw,2004,103 ,7.6,46        ,"463,263",$56.00M,James Wan,Cary Elwes,Horror
82,My Left Foot: The Story of Christy Brown,1989,103 ,7.8,97        ,"79,234",$14.74M,Jim Sheridan,Daniel Day-Lewis,Biography
83,Bowling for Columbine,2002,120 ,8,72        ,"148,381",$21.58M,Michael Moore,Michael Moore,Documentary
84,Man on Fire,2004,146 ,7.7,47        ,"387,113",$77.91M,Tony Scott,Denzel Washington,Action
85,Almost Famous,2000,122 ,7.9,90        ,"291,787",$32.53M,Cameron Crowe,Billy Crudup,Adventure
86,High Fidelity,2000,113 ,7.4,79        ,"188,892",$27.29M,Stephen Frears,John Cusack,Comedy
87,Django Unchained,2012,165 ,8.5,81        ,"1,678,149",$162.81M,Quentin Tarantino,Jamie Foxx,Drama
88,12 Angry Men,1957,96 ,9,97        ,"855,913",$4.36M,Sidney Lumet,Henry Fonda,Crime
89,Memento,2000,113 ,8.4,83        ,"1,313,142",$25.54M,Christopher Nolan,Guy Pearce,Mystery
90,Rain Man,1988,133 ,8,65        ,"543,174",$178.80M,Barry Levinson,Dustin Hoffman,Drama            
91,Minority Report,2002,145 ,7.6,80        ,"580,933",$132.07M,Steven Spielberg,Tom Cruise,Action
92,Goldfinger,1964,110 ,7.7,87        ,"201,466",$51.08M,Guy Hamilton,Sean Connery,Action
93,The Social Network,2010,120 ,7.8,95        ,"753,112",$96.96M,David Fincher,Jesse Eisenberg,Biography
94,American Psycho,2000,102 ,7.6,64        ,"705,861",$15.07M,Mary Harron,Christian Bale,Crime
95,Men in Black,1997,98 ,7.3,72        ,"608,173",$250.69M,Barry Sonnenfeld,Tommy Lee Jones,Action
96,No Country for Old Men,2007,122 ,8.2,92        ,"1,049,403",$74.28M,Ethan Coen,Joel Coen,Crime
97,Airplane!,1980,88 ,7.7,78        ,"258,743",$83.40M,Jim Abrahams,David Zucker,Comedy            
98,There Will Be Blood,2007,158 ,8.2,93        ,"636,311",$40.22M,Paul Thomas Anderson,Daniel Day-Lewis,Drama            
99,Inception,2010,148 ,8.8,74        ,"2,526,730",$292.58M,Christopher Nolan,Leonardo DiCaprio,Action
0,JFK,1991,189 ,8,72        ,"168,937",$70.41M,Oliver Stone,Kevin Costner,Drama
1,King Kong,2005,187 ,7.2,81        ,"444,153",$218.08M,Peter Jackson,Naomi Watts,Action
2,The Terminator,1984,107 ,8.1,84        ,"917,574",$38.40M,James Cameron,Arnold Schwarzenegger,Action
3,The Lord of the Rings: The Fellowship of the Ring,2001,178 ,8.9,92        ,"1,989,399",$315.54M,Peter Jackson,Elijah Wood,Action
4,Kill Bill: Vol. 1,2003,111 ,8.2,69        ,"1,182,942",$70.10M,Quentin Tarantino,Uma Thurman,Action
5,The Silence of the Lambs,1991,118 ,8.6,86        ,"1,535,105",$130.74M,Jonathan Demme,Jodie Foster,Crime
6,The Color of Money,1986,119 ,7,77        ,"92,672",$52.29M,Martin Scorsese,Paul Newman,Drama
7,This Is England,2006,101 ,7.7,86        ,"128,214",$0.33M,Shane Meadows,Thomas Turgoose,Crime
8,It's a Wonderful Life,1946,130 ,8.6,89        ,"496,173",nan,Frank Capra,James Stewart,Drama
9,Children of Men,2006,109 ,7.9,84        ,"526,665",$35.55M,Alfonso Cuarón,Julianne Moore,Action
10,In the Name of the Father,1993,133 ,8.1,84        ,"185,892",$25.01M,Jim Sheridan,Daniel Day-Lewis,Biography
11,American History X,1998,119 ,8.5,62        ,"1,179,223",$6.72M,Tony Kaye,Edward Norton,Crime
12,Twelve Monkeys,1995,129 ,8,75        ,"643,677",$57.14M,Terry Gilliam,Bruce Willis,Mystery
13,Dog Day Afternoon,1975,125 ,8,86        ,"271,656",$50.00M,Sidney Lumet,Al Pacino,Biography
14,The Untouchables,1987,119 ,7.8,79        ,"328,880",$76.27M,Brian De Palma,Kevin Costner,Crime
15,Close Encounters of the Third Kind,1977,138 ,7.6,90        ,"215,376",$132.09M,Steven Spielberg,Richard Dreyfuss,Drama
16,"Il buono, il brutto, il cattivo",1966,161 ,8.8,90        ,"805,247",$6.10M,Sergio Leone,Clint Eastwood,Adventure
17,Glengarry Glen Ross,1992,100 ,7.7,84        ,"115,057",$10.73M,James Foley,Al Pacino,Crime
18,The Wolf of Wall Street,2013,180 ,8.2,75        ,"1,564,495",$116.90M,Martin Scorsese,Leonardo DiCaprio,Biography
19,Road to Perdition,2002,117 ,7.7,72        ,"283,069",$104.45M,Sam Mendes,Tom Hanks,Crime
20,Up,2009,96 ,8.3,88        ,"1,115,336",$293.00M,Pete Docter,Bob Peterson,Animation
21,Natural Born Killers,1994,119 ,7.2,74        ,"250,315",$50.28M,Oliver Stone,Woody Harrelson,Action
22,Out of Sight,1998,123 ,7,84        ,"98,498",$37.56M,Steven Soderbergh,George Clooney,Comedy
23,The Bourne Identity,2002,119 ,7.8,68        ,"573,195",$121.66M,Doug Liman,Franka Potente,Action
24,An American Werewolf in London,1981,97 ,7.5,55        ,"119,391",$30.57M,John Landis,David Naughton,Comedy
25,United 93,2006,111 ,7.6,90        ,"110,601",$31.57M,Paul Greengrass,David Alan Basche,Action
26,Full Metal Jacket,1987,116 ,8.3,78        ,"785,156",$46.36M,Stanley Kubrick,Matthew Modine,Drama
27,The General,1998,124 ,7.2,81        ,"9,215",$1.21M,John Boorman,Brendan Gleeson,Biography
28,The Deer Hunter,1978,183 ,8.1,89        ,"359,974",$48.98M,Michael Cimino,Robert De Niro,Drama
29,Desperado,1995,104 ,7.1,55        ,"196,640",$25.63M,Robert Rodriguez,Antonio Banderas,Action
30,Interview with the Vampire: The Vampire Chronicles,1994,123 ,7.5,62        ,"345,048",$105.26M,Neil Jordan,Brad Pitt,Drama
31,Things to Do in Denver When You're Dead,1995,115 ,6.7,45        ,"29,651",$0.53M,Gary Fleder,Andy Garcia,Crime
32,Little Miss Sunshine,2006,101 ,7.8,80        ,"514,619",$59.89M,Jonathan Dayton,Valerie Faris,Comedy
33,Carlito's Way,1993,144 ,7.9,66        ,"231,075",$36.95M,Brian De Palma,Al Pacino,Crime
34,Casino Royale,2006,144 ,8,80        ,"690,843",$167.45M,Martin Campbell,Daniel Craig,Action
35,Dirty Harry,1971,102 ,7.7,87        ,"167,332",$35.90M,Don Siegel,Clint Eastwood,Action
36,Gremlins,1984,106 ,7.3,70        ,"246,168",$148.17M,Joe Dante,Zach Galligan,Comedy
37,Butch Cassidy and the Sundance Kid,1969,110 ,8,66        ,"225,808",$102.31M,George Roy Hill,Paul Newman,Biography
38,Ocean's Eleven,2001,116 ,7.7,74        ,"613,850",$183.42M,Steven Soderbergh,George Clooney,Crime
39,The Lord of the Rings: The Two Towers,2002,179 ,8.8,87        ,"1,768,420",$342.55M,Peter Jackson,Elijah Wood,Action
40,Amores perros,2000,154 ,8.1,83        ,"251,734",$5.38M,Alejandro G. Iñárritu,Emilio Echevarría,Drama
41,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84 ,7.4,89        ,"438,942",$128.51M,Larry Charles,Sacha Baron Cohen,Comedy            
42,Austin Powers: The Spy Who Shagged Me,1999,95 ,6.6,59        ,"247,477",$206.04M,Jay Roach,Mike Myers,Action
43,Batman Returns,1992,126 ,7.1,68        ,"325,377",$162.83M,Tim Burton,Michael Keaton,Action
44,The Virgin Suicides,1999,97 ,7.2,77        ,"167,918",$4.86M,Sofia Coppola,Kirsten Dunst,Drama
45,28 Days Later...,2002,113 ,7.5,73        ,"441,593",$45.06M,Danny Boyle,Cillian Murphy,Drama
46,The Life Aquatic with Steve Zissou,2004,119 ,7.2,62        ,"209,990",$24.01M,Wes Anderson,Bill Murray,Action
47,Requiem for a Dream,2000,102 ,8.3,71        ,"892,770",$3.64M,Darren Aronofsky,Ellen Burstyn,Drama            
48,The Italian Job,1969,99 ,7.2,70        ,"50,017",nan,Peter Collinson,Michael Caine,Action
49,Get Carter,1971,112 ,7.3,80        ,"36,514",$0.39M,Mike Hodges,Michael Caine,Action
50,The Rules of Attraction,2002,110 ,6.6,50        ,"53,172",$6.53M,Roger Avary,James Van Der Beek,Comedy
51,Zodiac,2007,157 ,7.7,79        ,"592,393",$33.08M,David Fincher,Jake Gyllenhaal,Crime
52,Hot Fuzz,2007,121 ,7.8,81        ,"532,505",$23.64M,Edgar Wright,Simon Pegg,Action
53,"O Brother, Where Art Thou?",2000,107 ,7.7,69        ,"328,947",$45.51M,Joel Coen,Ethan Coen,Adventure
54,Braindead,1992,104 ,7.5,54        ,"102,707",$0.24M,Peter Jackson,Timothy Balme,Comedy
55,Dumb and Dumber,1994,107 ,7.3,41        ,"408,875",$127.18M,Peter Farrelly,Bobby Farrelly,Comedy            
56,The Jungle Book,1967,78 ,7.6,65        ,"197,259",$141.84M,Wolfgang Reitherman,Phil Harris,Animation
57,The Bourne Ultimatum,2007,115 ,8,85        ,"655,905",$227.47M,Paul Greengrass,Matt Damon,Action
58,Shallow Grave,1994,89 ,7.3,67        ,"65,857",$2.88M,Danny Boyle,Kerry Fox,Crime
59,From Dusk Till Dawn,1996,108 ,7.2,48        ,"337,898",$25.75M,Robert Rodriguez,Harvey Keitel,Action
60,Gone with the Wind,1939,238 ,8.2,97        ,"332,164",$198.68M,Victor Fleming,George Cukor,Drama
61,American Pie,1999,95 ,7,58        ,"431,090",$102.56M,Paul Weitz,Chris Weitz,Comedy            
62,Slumdog Millionaire,2008,120 ,8,84        ,"874,170",$141.32M,Danny Boyle,Loveleen Tandan,Crime
63,On the Waterfront,1954,108 ,8.1,91        ,"163,647",$9.60M,Elia Kazan,Marlon Brando,Crime
64,Snatch,2000,104 ,8.2,55        ,"903,390",$30.33M,Guy Ritchie,Jason Statham,Comedy
65,The Naked Gun: From the Files of Police Squad!,1988,85 ,7.6,76        ,"183,158",$78.76M,David Zucker,Leslie Nielsen,Comedy
66,National Lampoon's Animal House,1978,109 ,7.4,79        ,"128,557",nan,John Landis,John Belushi,Comedy            
67,Three Kings,1999,114 ,7.1,82        ,"179,693",$60.65M,David O. Russell,George Clooney,Action
68,In Bruges,2008,107 ,7.9,67        ,"459,002",$7.76M,Martin McDonagh,Colin Farrell,Comedy
69,Toy Story 3,2010,103 ,8.3,92        ,"886,705",$415.00M,Lee Unkrich,Tom Hanks,Animation
70,Cloverfield,2008,85 ,7,64        ,"418,398",$80.05M,Matt Reeves,Mike Vogel,Horror
71,Dawn of the Dead,1978,127 ,7.8,71        ,"127,795",$5.10M,George A. Romero,David Emge,Horror
72,Quiz Show,1994,133 ,7.5,92        ,"72,970",$24.82M,Robert Redford,Ralph Fiennes,Biography
73,Dalkomhan insaeng,2005,119 ,7.5,nan,"42,711",nan,Jung Doo Hong,Jee-woon Kim,Action
74,The Sixth Sense,1999,107 ,8.2,64        ,"1,044,398",$293.51M,M. Night Shyamalan,Bruce Willis,Drama
75,The Long Good Friday,1980,114 ,7.6,82        ,"25,158",nan,John Mackenzie,Bob Hoskins,Crime
76,Juno,2007,96 ,7.5,81        ,"546,693",$143.50M,Jason Reitman,Elliot Page,Comedy
77,Planet of the Apes,1968,112 ,8,79        ,"191,468",$33.40M,Franklin J. Schaffner,Charlton Heston,Adventure
78,Kiss Kiss Bang Bang,2005,103 ,7.5,73        ,"236,446",$4.24M,Shane Black,Robert Downey Jr.,Comedy
79,Jackie Brown,1997,154 ,7.5,62        ,"371,905",$39.67M,Quentin Tarantino,Pam Grier,Crime
80,Sideways,2004,127 ,7.5,94        ,"202,881",$71.50M,Alexander Payne,Paul Giamatti,Comedy
81,Edward Scissorhands,1990,105 ,7.9,74        ,"520,687",$56.36M,Tim Burton,Johnny Depp,Drama
82,The Thin Red Line,1998,170 ,7.6,78        ,"198,470",$36.40M,Terrence Malick,Jim Caviezel,Drama
83,Hotel Rwanda,2004,121 ,8.1,79        ,"370,349",$23.53M,Terry George,Don Cheadle,Biography
84,Sexy Beast,2000,89 ,7.3,79        ,"67,642",$6.95M,Jonathan Glazer,Ray Winstone,Crime
85,Swingers,1996,96 ,7.2,71        ,"87,689",$4.51M,Doug Liman,Vince Vaughn,Comedy
86,Le fabuleux destin d'Amélie Poulain,2001,122 ,8.3,70        ,"790,477",$33.23M,Jean-Pierre Jeunet,Audrey Tautou,Comedy
87,Män som hatar kvinnor,2009,152 ,7.8,76        ,"222,655",$10.10M,Niels Arden Oplev,Michael Nyqvist,Crime
88,Nuovo Cinema Paradiso,1988,174 ,8.5,80        ,"280,477",$11.99M,Giuseppe Tornatore,Philippe Noiret,Drama
89,Witness for the Prosecution,1957,116 ,8.4,76        ,"136,403",$8.18M,Billy Wilder,Tyrone Power,Crime
90,The Apartment,1960,125 ,8.3,94        ,"195,141",$18.60M,Billy Wilder,Jack Lemmon,Comedy
91,Meet the Parents,2000,108 ,7,73        ,"353,308",$166.24M,Jay Roach,Ben Stiller,Comedy
92,The Right Stuff,1983,193 ,7.8,91        ,"65,042",$21.50M,Philip Kaufman,Sam Shepard,Adventure
93,Catch Me If You Can,2002,141 ,8.1,75        ,"1,083,165",$164.62M,Steven Spielberg,Leonardo DiCaprio,Biography
